IATA,Likely Ports (ranked),Sample snippet
JFK,Baltimore | Port Canaveral | Cape Liberty | Tampa | New Orleans | Galveston | Port of Canaveral | Bayonne,"For Miami: MIA (8 mi, 15–20 min); FLL alternative (25 mi, 30–45 min, cheaper). Port Canaveral: MCO (45 mi, 45 min); SFB/MLB farther but budget. Everglades: FLL (3 mi, 5 min). Tampa: TPA (7 mi, 15 min)"
LAX,New Orleans | Boston | Los Angeles | San Pedro | Seattle | Baltimore | Galveston | Port of NOLA,- **Los Angeles (San Pedro; ~50 sailings; Rating: 3.8/5)**: Battleship Iowa neighbor. **Tips**: Fly LAX/LGB; Terminal 93 for RCL. Oddity: Vincent Thomas Bridge views. Expedite: Curbside drop; app scan
LGA,Port Canaveral | Baltimore | Tampa | New Orleans | Galveston | Port of Canaveral | Cape Liberty | Boston,"For Miami: MIA (8 mi, 15–20 min); FLL alternative (25 mi, 30–45 min, cheaper). Port Canaveral: MCO (45 mi, 45 min); SFB/MLB farther but budget. Everglades: FLL (3 mi, 5 min). Tampa: TPA (7 mi, 15 min)"
LGB,New Orleans | Boston | Los Angeles | San Pedro | Seattle | Baltimore | Galveston | Port of NOLA,- **Los Angeles (San Pedro; ~50 sailings; Rating: 3.8/5)**: Battleship Iowa neighbor. **Tips**: Fly LAX/LGB; Terminal 93 for RCL. Oddity: Vincent Thomas Bridge views. Expedite: Curbside drop; app scan
MCO,Miami | Port Canaveral | Port of Canaveral | PortMiami | Baltimore | Boston | Galveston | San Diego,- **Port Canaveral (372 sailings; Rating: 4.3/5)**: Space Coast gem—near Kennedy Center. **Tips**: Fly MCO early; shuttles beat traffic. Oddity: Ships dwarfed by rocket launches (book viewing tours). 
MIA,Miami | Baltimore | Boston | Port of | Galveston | San Diego | Fort Lauderdale | PortMiami,- **Miami (PortMiami; 379 RCL sailings/year; Rating: 4.1/5)**: World's busiest cruise port—vibrant but chaotic. **Tips**: Arrive 3+ hours early; use Terminal AA for mega-ships (faster security). Oddit
MLB,Port Canaveral | Miami | Port of Canaveral | Tampa | Galveston | Cape Liberty | Baltimore | Boston,"For Miami: MIA (8 mi, 15–20 min); FLL alternative (25 mi, 30–45 min, cheaper). Port Canaveral: MCO (45 mi, 45 min); SFB/MLB farther but budget. Everglades: FLL (3 mi, 5 min). Tampa: TPA (7 mi, 15 min)"
MSC,,"- **Carnival, Princess, Norwegian (NCL), Holland America, MSC, and most others**: Non-surge-protected power strips (without extension cords) are still allowed, but they must be in good condition and u"
MSY,New Orleans | Galveston | Tampa | Cape Liberty | Baltimore | Port of | Port of NOLA | Fort Lauderdale,"- **New Orleans (Port NOLA; 100 sailings; Rating: 4.1/5)**: Crescent City magic—beignets nearby. **Tips**: Fly MSY (20 mins); French Quarter stroll. Oddity: Riverfront delay—ships ""roll down the Missi"
NCL,,"- **Carnival, Princess, Norwegian (NCL), Holland America, MSC, and most others**: Non-surge-protected power strips (without extension cords) are still allowed, but they must be in good condition and u"
NYC,Cape Liberty | Bayonne | Seattle | Port of | New Orleans | Galveston | Port of Seattle | Port Everglades,- **Cape Liberty (Bayonne; 62 sailings; Rating: 3.9/5)**: NYC gateway—Statue views. **Tips**: Fly EWR (20 mins); Jersey City ferry. Oddity: Industrial feel—cargo ships loom. Expedite: Quantum-class au
PBI,Fort Lauderdale | Port Everglades | Port of Everglades | Miami | Port of Everglades is at | Port of expansion for | Port of | Port of Miami,"| Fort Lauderdale, FL | Fort Lauderdale-Hollywood (FLL) | 5 mi / 8 km | 10–20 min | $10–$20 | Miami (MIA), Palm Beach (PBI) |"
PIE,Tampa | Miami | Port Canaveral | Port of Canaveral | Fort Lauderdale | Port Everglades | Port of Everglades | PortMiami,"- **Tampa (TPA to Port Tampa Bay; 7 mi, 15-20 mins; Rating: 4.3/5)**: Southwest hub—250+ flights. **Tips**: SkyConnect train to rentals; PIE alternative (14 mi, 25 mins; Rating: 3.9/5, Allegiant focus"
RCL,Miami | Baltimore | Port Canaveral | Galveston | Boston | Port of Canaveral | Cape Liberty | Tampa,"Drawing from popular lists and forums like Cruise Critic, Reddit's r/Cruise and r/royalcaribbean, and blogs such as The Points Guy and Life Well Cruised, I've blended in some standout advice from expe"
RFP,Port of | Los Angeles | San Pedro | San Diego | Seattle | Port of Seattle | Port of San Diego,Official links: [Seattle](https://www.portseattle.org); [Los Angeles](https://www.portoflosangeles.org); [San Diego](https://www.portofsandiego.org). Changes: Seattle expansion (2025); LA new terminal
SAN,San Diego | Boston | New Orleans | Seattle | Miami | Baltimore | Galveston | Los Angeles,- **San Diego (B Street Pier; ~20 sailings; Rating: 4.1/5)**: Downtown waterfront. **Tips**: Fly SAN (walkable); USS Midway nearby. Oddity: Seals at nearby Embarcadero. Expedite: Security fast lanes. 
SEA,Seattle | Galveston | Tampa | Boston | Miami | Port of | Port of Seattle | Baltimore,- **Seattle (Port of Seattle; ~100 sailings; Rating: 4.2/5)**: Iconic Space Needle views. **Tips**: Fly SEA early; Pier 91 for RCL (bag drop curbside). Oddity: Shared terminal with other lines—long li
SFB,Port Canaveral | Port of Canaveral | Miami | Baltimore | Cape Liberty | Boston | Tampa | New Orleans,"For Miami: MIA (8 mi, 15–20 min); FLL alternative (25 mi, 30–45 min, cheaper). Port Canaveral: MCO (45 mi, 45 min); SFB/MLB farther but budget. Everglades: FLL (3 mi, 5 min). Tampa: TPA (7 mi, 15 min)"
SJU,Galveston | Seattle | Port of | New Orleans | Baltimore | Port of Seattle | Port Canaveral | Cape Liberty,- **San Juan (Old San Juan/Pan American Pier; ~50 sailings; Rating: 4.3/5)**: Historic colonial charm. **Tips**: Walk Old San Juan pre-sail; SJU close. Oddity: Cobblestone streets—watch footing with l
SPF,,Bring a reusable water bottle to stay hydrated during shore excursions or pool days. Apply **reef-safe sunscreen** (SPF 30 or higher) regularly to protect your skin and marine environments. Look for n
SRQ,Tampa | Port Canaveral | Fort Lauderdale | Miami | Port of Canaveral | Port of | Port of Tampa,"| Tampa, FL | Tampa International (TPA) | 8 mi / 13 km | 15–25 min | $15–$25 | St. Petersburg-Clearwater (PIE), Sarasota (SRQ) |"
TPA,Tampa | Port Canaveral | Miami | Port of Canaveral | Fort Lauderdale | Port Everglades | Port of Everglades | PortMiami,- **Tampa (Port Tampa Bay; 120 sailings; Rating: 4.0/5)**: Riverfront charm—downtown vibes. **Tips**: Fly TPA (20 mins); In-terminal dining. Oddity: Shares space with cargo ships (noisy backups). Expe
TSA,Miami | Port of Blvd,"Directions: Miami via I-95 to Port Blvd. Security: ID/docs, bag scans like TSA; no liquids over 3 oz."
USB,,"- **Royal Caribbean and Celebrity Cruises**: All power strips and multi-plug extension devices are prohibited, even non-surge-protected ones. They recommend sticking to USB-only charging blocks or the"
USS,Boston | New Orleans | Los Angeles | San Pedro | San Diego,- **San Diego (B Street Pier; ~20 sailings; Rating: 4.1/5)**: Downtown waterfront. **Tips**: Fly SAN (walkable); USS Midway nearby. Oddity: Seals at nearby Embarcadero. Expedite: Security fast lanes. 
VIP,,Wi-Fi (VOOM ~$25/day) and excursions book pre-cruise for 10–20% off. Bundles like The Key add VIP perks.
YVR,,- **Vancouver (Canada Place; ~80 sailings; Rating: 4.3/5)**: Scenic downtown pier. **Tips**: Fly YVR; Gastown stroll. Oddity: Multi-ship days—elevator crowds. Expedite: App pre-board; US customs fast.
